Nombre Escuela,Latitud,Longitud,Cantidad de estudiantes,Estado,Total
GUAYABAL,4.292891,-74.40458,13,,
LA ISLA,4.312923,-74.38643,50,,
CUCHARAL ALTO,4.359558,-74.3917,173,,
BOSACHOQUE,4.373351,-74.38642,83,,
VIENA,4.355946,-74.41778,18,,
FRANCISCO JOSE DE CALDAS,4.385174,-74.32931,422,,
BERMEJAL,4.368753,-74.33261,37,,
TIERRA NEGRA,4.362185,-74.34055,30,,
USATHAMA,4.392727,-74.36595,14,,
SAN JOSE DE PIAMONTE,4.376635,-74.36464,11,,
JORDAN  ALTO,4.3612,-74.35506,87,,
LOS SAUCES,4.329672,-74.34814,11,,
LOS RESGUARDOS,4.360215,-74.3752,72,,
GUAVIO BAJO,4.273843,-74.37718,302,,
MESITAS,4.302086,-74.37685,44,,
BATAN,4.277784,-74.35374,31,,
EL CARMEN,4.233777,-74.33988,22,,
GUAVIO ALTO,4.28074,-74.39236,18,,
EL CONSUELO,4.28895,-74.38742,12,,
SANTA LUCIA,4.264318,-74.35969,11,,
PALACIOS,4.302086,-74.39633,14,,
SARDINAS,4.302743,-74.3412,22,,
SANTIAGO SAMPER BRUSH,4.26629,-74.52408,,CERRADO,
ESPINALITO ALTO,4.313581,-74.41746,498,,
EL PLACER,,,154,,
ESPINALITO BAJO,,,34,,
PIAMONTE,,,11,,
BOCHICA,,,18,,
LA TRINIDAD,,,38,,
SANTA ANA,,,29,,
JORDAN BAJO,,,51,,
LA CASCADA,,,46,,
CASA DE LATA,,,58,,
,,,,,2447
