Nombre Escuela,Latitud,longitud,Cantidad de estudiantes,Estado,Total
ESCUELA RURAL  SAN JOSE,4.533911,-74.34103,39,,
ESCUELA RURAL SANTA HELENA,4.50409,-74.32721,13,,
ESCUELA RURAL LA PLAYITA,4.522262,-74.32486,43,,
ESCUELA  RURAL JORGE TADEO LOZANO,4.52133,-74.29418,13,,
ESCUELA RURAL GONZALO JIMENEZ DE QUESADA,4.513642,-74.36514,49,,
ESCUELA RURAL  GENERAL SANTANDER,4.52995,-74.36023,14,,
ESCUELA RURAL  RAFAEL POMBO,4.547657,-74.30074,39,,
ESCUELA RURAL SANTA LUCIA,4.542764,-74.35555,52,,
ESCUELA RURAL  ANTONIO NARIÑO,4.500829,-74.36937,304,,
,,,,,566
