Nombre Escuela,Latitud,Longitud,Cantidad de estudiantes,Estado,Total
ESCUELA RURAL MERCADILLO,4.193426,-74.4672,45,,
ESCUELA RURAL EL CAUCHO,4.185661,-74.48135,13,,
ESCUELA RURAL GUACANONZO BAJO,4.194576,-74.45246,,No hay registro,
ESCUELA RURAL LA LOMA,4.218443,-74.48598,8,,
ESCUELA URBANA ALIANZA PARA EL PROGRESO,4.189112,-74.48684,,,
INSTITUCION EDUCATIVA DEPARTAMENTAL FRANCISCO JOSE DE CALDAS,4.180486,-74.44842,,,
ESCUELA RURAL GUACANONZO ALTO,4.180486,-74.44842,10,,
ESCUELA RURAL BUENOS AIRES,4.139077,-74.44032,109,,
INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SANTA HELENA,4.162944,-74.44755,130,,
ESCUELA RURAL DE TUMBIA,,,5,,
ESCUELA RURAL SABANALARGA,4.174159,-74.47874,9,,
ESCUELA RURAL SAN MIGUEL,4.120098,-74.46922,12,,
ESCUELA RURAL SANTA HELENA BAJA,4.17991,-74.46603,15,,
ESCUELA RURAL CARACOL,,,8,,
,,,,,364
