Nombre Escuela,Latitud,Logitud,Cantidad de estudiantes,Estado,Total
ESCUELA ALTO DEL MOLINO,4.332985,-74.33038,88,,
ESCUELA ZALDUA,4.288275,-74.27039,19,,
ESCUELA BOCADEMONTE,4.316357,-74.28964,46,,
ESCUELA URBANA POLICARPA SALAVARRIETA,,,,,
ESCUELA RURAL  GUCHIPAS,4.339267,-74.3226,27,,
ESCUELA EL BOBAL,4.338528,-74.26928,13,,
ESCUELA CORRALES,4.260192,-74.24632,9,,
ESCUELA LA ESPERANZA,4.271277,-74.26854,11,,
ESCUELA RURAL PROVIDENCIA,4.373631,-74.31816,12,,
INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR NUESTRA SEÑORA DE LA ENCARNACION,,,,,
ESCUELA EL ZAQUE,4.317466,-74.30742,15,,
ESCUELA SABANETA,4.335202,-74.28594,40,,
ESCUELA RURAL SAN PABLO,4.307489,-74.32816,7,,
ESCUELA JUAN XXIII,4.358112,-74.26706,5,,
JARDIN INFANTIL JAIME HINCAPIE SANTAMARIA,,,,,
INSTITUCION EDUCATIVA DEPTAL ADOLFO LEON GOMEZ,4.290122,-74.3089,449,,
ESCUELA  RURAL  ALTAGRACIA,4.281623,-74.33075,21,,
ESCUELA  RURAL  EL  RETIRO,,,19,,
ESCUELA  RURAL  SAN  PEDRO,4.292339,-74.33148,31,,
ESCUELA RURAL LAZARO FONTE,4.274603,-74.29187,35,,
ESCUELA RURAL QUEBRADAS,4.209569,-74.27223,5,,
ESCUELA RURAL COSTA RICA,4.24689,-74.27076,13,,
ESCUELA RURAL EL CARMEN,4.212155,-74.3026,22,,
ESCUELA RURAL  LA CAJITA,4.309706,-74.23188,,Cierre temporal,
ESCUELA SAN JOAQUIN,4.352569,-74.32334,21,,
ESCUELA RURAL COLORADOS ALTO,4.364393,-74.26003,19,,
ESCUELA RURAL ZORATAMA,4.317835,-74.25077,6,,
ESCUELA RURAL LA MESA,4.304902,-74.27483,6,,
ESCUELA  RURAL  LA  ARGENTINA,4.257975,-74.27705,10,,
ESCUELA RURAL JUAN VIEJO,4.235805,-74.27779,14,,
ESCUELA RURAL SANTA TERESITA,4.260192,-74.31594,14,,
ESCUELA RURAL QUEBRADA HONDA,,,10,,
,,,,,987
