Nombre escuela,Latitud,longitud,Cantidad de estudiantes,Estado,Total
INTITUCION EDUCATIVA DEPARTAMENTAL  ANDES ,4.142961,-74.37566,142,,
ESCUELA RURAL EL TULCAN,4.14362,-74.36309,18,,
ESCUELA RURAL EL DORADO,4.172297,-74.34788,8,,
ESCUELA RURAL  PORTONES,4.211522,-74.44476,40,,
ESCUELA RURAL SAN ANTONIO,4.206248,-74.42525,12,,
ESCUELA RURAL EL CARMEN,4.184823,-74.42493,2,,
ESCUELA RURAL LA DESPENSA,4.173616,-74.43683,17,,
ESCUELA RURAL AGUADAS,4.176912,-74.37863,13,,
ESCUELA RURAL LAUREL BAJO,4.149883,-74.38789,15,,
ESCUELA RURAL EL PILAR,4.145268,-74.2834,,cierre temporal,
ESCUELA RURAL LOS ANDES,4.154827,-74.39616,32,,
ESCUELA RURAL SAN MIGUEL,4.174275,-74.42955,11,,
ESCUELA RURAL ALEJANDRIA,4.168342,-74.39781,27,,
ESCUELA RURAL PIRINEOS BAJOS,4.136698,-74.41666,33,,
ESCUELA RURAL SANTA MARTA,4.101099,-74.40971,19,,
COLEGIO BÁSICO SANTA RITA,4.115273,-74.43153,136,,
ESCUELA RURAL  NIÑA MARÍA,4.191415,-74.38855,21,,
ESCUELA RURAL LAS VEGAS,4.081321,-74.35714,,cierre temporal,
ESCUELA RURAL LA GRACIELA,4.137357,-74.34888,,cierre temporal,
ESCUELA RURAL LAUREL ALTO,4.158782,-74375,43,,
INSTITUCION EDUCATIVA DPTAL ESCUELA NORMAL SUPERIOR,,,605,,
ESCUELA RURAL LA MARIA,,,26,,
ESCUELA RURAL LA ROSITA,,,1,,
ESCUELA RURAL AMERICAS,,,7,,
ESCUELA MANUELA BELTRAN EL PILAR,,,7,,
ESCUELA RURAL EL DIAMANTE,,,26,,
ESCUELA RURAL HONDURAS,,,14,,
,,,,,1325
