Nombre Escuela,Latitud,Longitud,Cantidad de estudiantes,Estado,Total
ESCUELA RURAL LA SOLEDAD,4.476017,-74.39236,30,,
ESCUELA RURAL BUNARÁ,4.475466,-74.35939,,cierre temporal,
ESCUELA RURAL SAN LUIS ALTO,4.452019,-74.36659,22,,
ESCUELA RURAL SANTA RITA ALTA,4.404022,-74.33722,19,,
ESCUELA RURAL SANTA RITA BAJA,,,33,,
ESCUELA RURAL SANTA RITA LAS PALMAS,,,17,,
ESCUELA RURAL VICTORIA  ALTA,4.443192,-74.33971,35,,
ESCUELA RURAL VICTORIA BAJA,,,36,,
INSTITUCION EDUCATIVA DEPARTAMENTAL AGUABONITA,,,243,,
ESCUELA RURAL EL ESTABLO,,,66,,
ESCUELA RURAL SANTA ISABEL,,,14,,
ESCUELA RURAL EL CABLE,4.417539,-74.33167,21,,
ESCUELA RURAL JALISCO,,,13,,
ESCUELA RURAL EL PORVENIR,,,11,,
ESCUELA RURAL  LAS ROSAS,,,7,,
ESCUELA RURAL LA PRIMAVERA,,,15,,
ESCUELA RURAL EL TRIUNFO,,,34,,
INSTITUCION EDUCATIVA DEPARTAMENTAL DE SUBIA,,,,,
ESCUELA RURAL LOMA ALTA,4.397678,-74.41066,16,,
ESCUELA  RURAL  PANAMA ALTA,4.391885,-74.42812,46,,
ESCUELA RURAL PANAMA BAJO,,,33,,
ESCUELA RURAL SAN JOSE LAS PALMAS,4.374783,-74.42896,16,,
ESCUELA. RURAL LA PRADERA,,,14,,
ESCUELA RURAL YAYATA BAJO,4.415056,-74.41481,17,,
ESCUELA RURAL YAYATA CENTRAL,,,11,,
ESCUELA RURAL SANTA ROSA,,,26,,
JARDIN INFANTIL  LAS  VILLAS,,,,,
INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA INÉS,,,,,
ESCUELA RURAL SAN LUIS BAJO,,,19,,
CONCENTRACION URBANA ANTONIA SANTOS,,,,,
ESCUELA RURAL LOS PUENTES,,,174,,
ESCUELA URBANA JHON F KENNEDY,,,,,
ESCUELA RURAL AZAFRANAL SIMON BOLIVAR,,,,,
ESCUELA RURAL AZAFRANAL DIVINO NIÑO,4.441537,-74.40096,,,
ESCUELA RURAL EL UVAL,4.425538,-74.40207,7,,
ESCUELA RURAL EL RETIRO,,,44,,
ESCUELA RURAL NORUEGA BAJA,,,52,,
ESCUELA RURAL QUEBRADA HONDA,,,13,,
ESCUELA RURAL SUBIA PREDEGAL,,,35,,
,,,,,1132
