Nombre Escuela,Latitud,Longitud,Cantidad de estudiantes,Estado,Total
ESCUELA RURAL  EL MANGO,4.296152,-74.53087,1,,
ESCUELA RURAL BUENAVISTA,4.301786,-74.49217,14,,
ESCUELA  RURAL MANUEL AYA   CAICEDO,4.315145,-74.5153,18,,
ESCUELA RURAL LA VEGA,4.311179,-74.45285,8,,
INSITUCION EDUCATIVA DEPTAL TECNICO COMERCIAL DE TIBACUY,,,,,
ESCUELA RURAL LA PORTADA,4.355009,-74.42404,32,,
ESCUELA RURAL SAN JOSE,4.366697,-74.44927,18,,
ESCUELA URBANA  SAN JUAN BOSCO,,,,,
ESCUELA RURAL  ALBANIA,4.340608,-74.5029,21,,
ESCUELA RURAL  LA CAJITA,4.346869,-74.49323,16,,
ESCUELA RURAL   CAPOTES,4.313475,-74.48039,2,,
INSTITUCIÓN EDUCATIVA TÉCNICO AGROPECUARIO CALANDAIMA,,,148,,
ESCUELA RURAL  MARCO FIDEL SUAREZ,4.346035,-74.46883,13,,
ESCUELA RURAL SAN FRANCISCO,4.336016,-74.47935,13,,
ESCUELA RURAL EL OCOBO,4.348748,-74.48019,13,,
INSTITUCION EDUCATIVA DEPARTAMENTAL BATEAS,4.346243,-74.45453,111,,
ESCUELA RURAL SAMPER MADRID,,,11,,
ESCUELA RURAL PIEDRANCHA,4.275697,-74.54559,13,,
,,,,,452
