Nombre Escuela,Latitud,Longitud,Cantidad de estudiantes,Estado,Total
ESCUELA RURAL ATANASIO GIRARDOT,4.089879,-74.44977,24,,
ESCUELA RURAL JHON F. KENNEDY,4.092806,-74.46577,14,,
ESCUELA RURAL LA CHORRERA,4.100688,-74.47569,,no hay registro,
ESCUELA RURAL JORGE TADEO LOZANO,4.090329,-74.45563,16,,
CONCENTRACION URBANA GENERAL SANTANDER,,,,,
INSTITUCION EDUCATIVA  DEPARTAMENTAL VENECIA,,,,,
ESCUELA RURAL HUNGRIA,4.056098,-74.41258,9,,
ESCUELA RURAL EL TIMBRIO,4.071187,-74.45856,15,,
ESCUELA RURAL SAN CRISTOBAL,4.070511,-74.48877,35,,
ESCUELA RURAL SAN ANTONIO,4.055648,-74.48426,19,,
ESCUELA RURAL QUEBRADAGRANDE,4.065557,-74.50342,23,,
ESCUELA RURAL PALMAR BAJO,4.091455,-74.41732,3,,
ESCUELA RURAL PALMAR ALTO,4.091455,-74.43648,7,,
ESCUELA RURAL AGUA DULCE,4.078168,-74.4793,11,,
ESCUELA RURAL CAMILO TORRES,,,14,,
ESCUELA RURAL APOSENTOS,4.028849,-74.51492,29,,
ESCUELA RURAL LAS BRISAS,,,15,,
ESCUELA RURAL SANTA BARBARA,,,9,,
,,,,,243
