SECRETARÍA;CÓDIGO DEPARTAMENTO;DEPARTAMENTO;CÓDIGO MUNICIPIO;MUNICIPIO;CÓDIGO INSTITUCIÓN;NOMBRE INSTITUCIÓN;CÓDIGO SEDE;NOMBRE SEDE;ZONA;DIRECCIÓN;TELÉFONO;ESTADO SEDE;NIVELES OFRECIDOS;MODELOS OFRECIDOS;GRADOS OFRECIDOS;latitud;longitud;Elevacion;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;125053000018;INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY;125053000018;INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY;URBANA;AVENIDA 7ª Nº. 9 - 101;8686428;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,MEDIA VOCACIONAL;PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000187;INST. EDUC. DEPTAL RURAL ZARAGOZA;RURAL;SECTOR ZARAGOZA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,MEDIA VOCACIONAL;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6,7,8,9,10,11;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000179;ESCUELA RURAL  LA VICTORIA;RURAL;SECTOR LA VICTORIA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000080;ESCUELA RURAL  LA ARABIA;RURAL;SECTOR LA ARABIA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000063;ESCUELA RURAL  EL SALITRE;RURAL;VEREDA EL SALITRE;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.214148;-74.32919;2805.7;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000161;ESCUELA RURAL  LAS MERCEDES;RURAL;SECTOR  LA DORADA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000331;ESCUELA RURAL  SAN RAFAEL;RURAL;SECTOR SN RAFAEL;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000365;ESCUELA RURAL PARAMILLO BAJO;RURAL;SECTOR LA HOYA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;225053000187;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL ZARAGOZA;225053000250;ESCUELA RURAL  SANTA BARBARA;RURAL;SECTOR CASABLANCA;3125017346;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000349;ESCUELA  RURAL BERLIN;RURAL;VEREDA SAN LUIS ALTO;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.232833;-74.42738;1740.9;;;;;;;;;;;;;;;;;
