Nombre Escuela,Latitud,longitud,Cantidad de Estudiantes,Estado,Total
ESCUELA RURAL  EL SALITRE,4.214148,-74.32919,11,,
ESCUELA  RURAL BERLIN,4.232833,-74.42738,20,,
ESCUELA RURAL  EL RECUERDO,4.239218,-74.40837,17,,
ESCUELA RURAL  SAN ROQUE,4.265457,-74.45909,11,,
ESCUELA RURAL  EL VERGEL,4.238968,-74.42317,3,,
ESCUELA RURAL VERSALLES,4.238968,-74.42317,11,,
ESCUELA RURAL EL CUARTEL,4.249005,-74.45769,4,,
ESCUELA RURAL SABANETA,4.242313,-74.44085,3,,
ESCUELA RURAL  LA LAJITA,4.265178,-74.40941,17,,
ESCUELA RURAL  LA MESA,4.269083,-74.44226,11,,
ESCUELA  RURAL TISCINCE,,,20,,
ESCUELA RURAL  DE LA HONDA,,,32,,
ESCUELA RURAL  EL SAMANO,,,7,,
ESCUELA RURAL  LA ARABIA,,,150,,
ESCUELA RURAL  LA VICTORIA,,,33,,
ESCUELA RURAL  LAS MERCEDES,,,6,,
ESCUELA RURAL  SANTA BARBARA,,,22,,
ESCUELA RURAL  SANTA ROSA,,,13,,
ESCUELA RURAL DE SAN LUIS,,,16,,
ESCUELA RURAL DE SAN MIGUEL,,,10,,
ESCUELA RURAL EL TRIUNFO,,,9,,
,,,,,426
ESCUELA SANTA MARIA,3.948997,-74.45703,16,,
ESCUELA RURAL ALTO ARIARI N°. UNO,4.002896,-74.51118,45,,
ESCUELA RURAL BAJO ARIARI,4.020589,-74.51945,8,,
ESCUELA RURAL SANTA LUCIA,4.001251,-74.46737,35,,
ESCUELA RURAL QUEBRADA NEGRA,3.936242,-74.48927,40,,
ESCUELA RURAL NUÑEZ,3.906206,-74.50415,7,,
ESC. RURAL PAQUILO,3.989319,-74.38055,10,,
PEÑAS BLANCAS BAJA,3.983558,-74.41486,13,,
ESCUELA RURAL LA PLAYA,3.965866,-74.36608,8,,
ESCUELA RURAL PUEBLO VIEJO,3.95846,-74.40411,13,,
ESCUELA RURAL LAS AGUILAS,3.857244,-74.42892,,CIERRE TEMPORAL,
PEÑAS BLANCAS ALTA,3.956815,-74.43595,10,,
ESCUELA RURAL HOYERIAS,3.942825,-74.38427,,CIERRE TEMPORAL,
ESCUELA RURAL SAN ISIDRO,3.975329,-74.48431,4,,
ESCUELA RURAL SANTA RITA BAJA,,,32,,
ESCUELA RURAL SANTA RITA 3,,,14,,
ESC. RURAL ALTO ARIARI 2,,,47,,
ESC. RURAL SANTA MARTA,,,30,,
,,,,,332
GUAYABAL,4.292891,-74.40458,13,,
LA ISLA,4.312923,-74.38643,50,,
CUCHARAL ALTO,4.359558,-74.3917,173,,
BOSACHOQUE,4.373351,-74.38642,83,,
VIENA,4.355946,-74.41778,18,,
FRANCISCO JOSE DE CALDAS,4.385174,-74.32931,422,,
BERMEJAL,4.368753,-74.33261,37,,
TIERRA NEGRA,4.362185,-74.34055,30,,
USATHAMA,4.392727,-74.36595,14,,
SAN JOSE DE PIAMONTE,4.376635,-74.36464,11,,
JORDAN  ALTO,4.3612,-74.35506,87,,
LOS SAUCES,4.329672,-74.34814,11,,
LOS RESGUARDOS,4.360215,-74.3752,72,,
GUAVIO BAJO,4.273843,-74.37718,302,,
MESITAS,4.302086,-74.37685,44,,
BATAN,4.277784,-74.35374,31,,
EL CARMEN,4.233777,-74.33988,22,,
GUAVIO ALTO,4.28074,-74.39236,18,,
EL CONSUELO,4.28895,-74.38742,12,,
SANTA LUCIA,4.264318,-74.35969,11,,
PALACIOS,4.302086,-74.39633,14,,
SARDINAS,4.302743,-74.3412,22,,
SANTIAGO SAMPER BRUSH,4.26629,-74.52408,,CERRADO,
ESPINALITO ALTO,4.313581,-74.41746,498,,
EL PLACER,,,154,,
ESPINALITO BAJO,,,34,,
PIAMONTE,,,11,,
BOCHICA,,,18,,
LA TRINIDAD,,,38,,
SANTA ANA,,,29,,
JORDAN BAJO,,,51,,
LA CASCADA,,,46,,
CASA DE LATA,,,58,,
,,,,,2447
ESCUELA RURAL  SAN JOSE,4.533911,-74.34103,39,,
ESCUELA RURAL SANTA HELENA,4.50409,-74.32721,13,,
ESCUELA RURAL LA PLAYITA,4.522262,-74.32486,43,,
ESCUELA  RURAL JORGE TADEO LOZANO,4.52133,-74.29418,13,,
ESCUELA RURAL GONZALO JIMENEZ DE QUESADA,4.513642,-74.36514,49,,
ESCUELA RURAL  GENERAL SANTANDER,4.52995,-74.36023,14,,
ESCUELA RURAL  RAFAEL POMBO,4.547657,-74.30074,39,,
ESCUELA RURAL SANTA LUCIA,4.542764,-74.35555,52,,
ESCUELA RURAL  ANTONIO NARIÑO,4.500829,-74.36937,304,,
,,,,,566
ESCUELA RURAL MERCADILLO,4.193426,-74.4672,45,,
ESCUELA RURAL EL CAUCHO,4.185661,-74.48135,13,,
ESCUELA RURAL GUACANONZO BAJO,4.194576,-74.45246,,No hay registro,
ESCUELA RURAL LA LOMA,4.218443,-74.48598,8,,
ESCUELA URBANA ALIANZA PARA EL PROGRESO,4.189112,-74.48684,,,
INSTITUCION EDUCATIVA DEPARTAMENTAL FRANCISCO JOSE DE CALDAS,4.180486,-74.44842,,,
ESCUELA RURAL GUACANONZO ALTO,4.180486,-74.44842,10,,
ESCUELA RURAL BUENOS AIRES,4.139077,-74.44032,109,,
INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SANTA HELENA,4.162944,-74.44755,130,,
ESCUELA RURAL DE TUMBIA,,,5,,
ESCUELA RURAL SABANALARGA,4.174159,-74.47874,9,,
ESCUELA RURAL SAN MIGUEL,4.120098,-74.46922,12,,
ESCUELA RURAL SANTA HELENA BAJA,4.17991,-74.46603,15,,
ESCUELA RURAL CARACOL,,,8,,
,,,,,364
ESCUELA ALTO DEL MOLINO,4.332985,-74.33038,88,,
ESCUELA ZALDUA,4.288275,-74.27039,19,,
ESCUELA BOCADEMONTE,4.316357,-74.28964,46,,
ESCUELA URBANA POLICARPA SALAVARRIETA,,,,,
ESCUELA RURAL  GUCHIPAS,4.339267,-74.3226,27,,
ESCUELA EL BOBAL,4.338528,-74.26928,13,,
ESCUELA CORRALES,4.260192,-74.24632,9,,
ESCUELA LA ESPERANZA,4.271277,-74.26854,11,,
ESCUELA RURAL PROVIDENCIA,4.373631,-74.31816,12,,
INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR NUESTRA SEÑORA DE LA ENCARNACION,,,,,
ESCUELA EL ZAQUE,4.317466,-74.30742,15,,
ESCUELA SABANETA,4.335202,-74.28594,40,,
ESCUELA RURAL SAN PABLO,4.307489,-74.32816,7,,
ESCUELA JUAN XXIII,4.358112,-74.26706,5,,
JARDIN INFANTIL JAIME HINCAPIE SANTAMARIA,,,,,
INSTITUCION EDUCATIVA DEPTAL ADOLFO LEON GOMEZ,4.290122,-74.3089,449,,
ESCUELA  RURAL  ALTAGRACIA,4.281623,-74.33075,21,,
ESCUELA  RURAL  EL  RETIRO,,,19,,
ESCUELA  RURAL  SAN  PEDRO,4.292339,-74.33148,31,,
ESCUELA RURAL LAZARO FONTE,4.274603,-74.29187,35,,
ESCUELA RURAL QUEBRADAS,4.209569,-74.27223,5,,
ESCUELA RURAL COSTA RICA,4.24689,-74.27076,13,,
ESCUELA RURAL EL CARMEN,4.212155,-74.3026,22,,
ESCUELA RURAL  LA CAJITA,4.309706,-74.23188,,Cierre temporal,
ESCUELA SAN JOAQUIN,4.352569,-74.32334,21,,
ESCUELA RURAL COLORADOS ALTO,4.364393,-74.26003,19,,
ESCUELA RURAL ZORATAMA,4.317835,-74.25077,6,,
ESCUELA RURAL LA MESA,4.304902,-74.27483,6,,
ESCUELA  RURAL  LA  ARGENTINA,4.257975,-74.27705,10,,
ESCUELA RURAL JUAN VIEJO,4.235805,-74.27779,14,,
ESCUELA RURAL SANTA TERESITA,4.260192,-74.31594,14,,
ESCUELA RURAL QUEBRADA HONDA,,,10,,
,,,,,987
INTITUCION EDUCATIVA DEPARTAMENTAL  ANDES ,4.142961,-74.37566,142,,
ESCUELA RURAL EL TULCAN,4.14362,-74.36309,18,,
ESCUELA RURAL EL DORADO,4.172297,-74.34788,8,,
ESCUELA RURAL  PORTONES,4.211522,-74.44476,40,,
